,BAL,BOS,NYY,TB,TOR,CWS,CLE,DET,KC,MIN,HOU,LAA,OAK,SEA,TEX,ATL,MIA,NYM,PHI,WAS,CHI,CIN,MIL,PIT,STL,ARI,COL,LAD,SD,SF
HOU,1250.5797459931828,1602.8523538172342,1425.6252126627821,782.4535005200505,1300.1881583644426,937.5994989318915,1113.9332456704901,1105.363368503076,642.5946639990613,1056.0591541819579,0.0,1351.8877458034474,1633.8006347285966,1890.8148635369528,230.2266713426424,700.4330784341554,965.8137034458293,1427.2970252000134,1339.1658500979659,1219.5874822584328,944.138505434161,892.2274677501998,1002.3809713253826,1136.811331862582,678.5347891386459,1016.3892129235717,879.5956726299868,1374.2543997818605,1304.1332125411625,1644.2896836717605
LAA,2306.436666118429,2584.109705345218,2442.8886750934494,2125.444203654074,2165.947798856404,1734.6126583500786,2038.4306344495133,1972.8695526970123,1349.085276259968,1517.2802666111925,1351.8877458034474,0.0,364.68414976675933,979.4554476017588,1204.1905356672341,1913.0405992147646,2315.5996756381664,2447.3750908992633,2381.222299314443,2287.672590071334,1734.755774549677,1883.7609901498297,1732.096598615166,2124.125690160833,1576.108500291887,336.1739395642602,823.2711013136429,27.857519579596428,86.26663670452193,373.1412254383137
OAK,2445.8295473001303,2687.2967408916834,2563.732572347403,2383.646415377987,2259.1061961408013,1848.4132858675705,2157.053548407378,2081.3867367644557,1501.4234753755275,1574.3646119035332,1633.8006347285966,364.68414976675933,0.0,679.2296643710166,1456.8049169538012,2121.01841530068,2580.8395205411616,2568.8662131268084,2512.6594958525957,2431.744000509973,1846.910410965784,2032.6665185711395,1828.9531269018178,2254.0823034421887,1734.5877373596,642.6915891642637,938.1011481699892,337.0454885291207,449.6493629679329,10.492355936117143
SEA,2333.8591032330037,2491.1606645908614,2408.278360143678,2528.6493585301796,2072.0827114702033,1738.6601499287385,2026.456488083616,1938.095469948344,1512.0832938372405,1394.5516177582251,1890.8148635369528,979.4554476017588,679.2296643710166,0.0,1670.5622211892394,2172.4930663584837,2731.996791947475,2414.340478164844,2380.8258332971754,2329.9074854064925,1734.1947859555135,1971.8665454122206,1689.3320278591582,2137.490840461336,1724.3874759349578,1113.4922279833436,1019.9539466612023,956.7593784850716,1062.2485256542845,677.344514176216
TEX,1227.9288406366766,1564.4094895788237,1394.3301536082126,927.5534137449849,1216.900291111527,813.1620193155924,1039.7733574807676,1012.9873530279948,458.1685405409925,867.9672294440232,230.2266713426424,1204.1905356672341,1456.8049169538012,1670.5622211892394,0.0,733.6152924130183,1124.0372825517195,1397.0186564615776,1314.1227646315901,1200.6326239206921,818.4299510132153,828.7439783351358,865.0667091927147,1084.914395243558,560.0130777580366,869.712592303626,654.00129236319,1224.040697575706,1167.461122639634,1467.269714367504
ATL,572.8944519428455,931.2728869588084,751.1622189036333,435.2690420519187,726.0301734269597,574.2051156432412,546.1755580177745,587.835438115987,660.8748318668902,897.4235754161757,700.4330784341554,1913.0405992147646,2121.01841530068,2172.4930663584837,733.6152924130183,0.0,614.047307915115,751.6582187495935,660.7498137173181,539.1414185231371,582.3054437061252,359.0770411243157,658.1656692648077,514.6851211669743,456.6321600526557,1585.9687130795305,1204.3459940503183,1930.1835871594908,1885.5768735031197,2131.170031026868
MIA,953.8392143394905,1254.2922589099385,1098.5475360071957,203.44277434409034,1232.2800093644116,1184.5325558256966,1086.5359941496606,1152.7861703249598,1234.2669688635497,1510.8669928907227,965.8137034458293,2315.5996756381664,2580.8395205411616,2731.996791947475,1124.0372825517195,614.047307915115,0.0,1095.4420812415851,1016.4990659730165,921.4931726085019,1192.4786821221594,951.054218615606,1267.4087987813366,1010.9908390212751,1058.9365460923666,1979.488388126915,1724.9567184684245,2337.2882337291244,2269.6897698046996,2591.3052171868912
NYM,178.89880609072978,179.79289597020352,6.533185278020949,1026.0631081722677,347.1004394238249,720.6450183519731,412.07508348344146,489.1722455834055,1100.163344165237,1025.9874891666193,1427.2970252000134,2447.3750908992633,2568.8662131268084,2414.340478164844,1397.0186564615776,751.6582187495935,1095.4420812415851,0.0,91.16224618289723,212.5629810883511,721.9918510102309,577.344692859931,744.1173503967051,324.60751102502945,882.326951589711,2152.4990165373597,1639.3558707588147,2458.343398946742,2441.2535193537515,2577.9187598281387
PHI,88.73479894996422,270.9423918119343,91.3291969431732,939.963816947518,337.62925529601364,665.8105368933694,359.3808518815904,444.0437228198009,1032.2529291152682,987.3350808655646,1339.1658500979659,2381.222299314443,2512.6594958525957,2380.8258332971754,1314.1227646315901,660.7498137173181,1016.4990659730165,91.16224618289723,0.0,121.61905213914305,668.0106070962862,502.0610070509183,697.8898715158921,258.79759939264466,809.7014852621852,2081.9182787515524,1579.1686208922395,2392.8974375752373,2372.7677340655473,2521.868417573472
WAS,35.13731056217743,392.3065457543801,212.25440796130425,831.610361460057,351.6296670850573,596.4032494262017,306.5651497588954,397.4952513255099,939.6568890304974,936.2693631807593,1219.5874822584328,2287.672590071334,2431.744000509973,2329.9074854064925,1200.6326239206921,539.1414185231371,921.4931726085019,212.5629810883511,121.61905213914305,0.0,599.8381424834104,403.9258390458219,640.576823067444,193.2593365437672,711.845335456236,1983.065340308472,1494.8852556142451,2300.2372712592646,2276.2586525993866,2441.142926341007
